state,value
Alabama,2.24
Alaska,-3.1
Arizona,3.32
Arkansas,1.87
California,5.53
Colorado,3.47
Connecticut,-1.35
Florida,4.98
Georgia,2.03
Hawaii,-1.56
Idaho,2.34
Illinois,6.05
Indiana,2.38
Iowa,2.16
Kansas,1.96
Kentucky,2.97
Louisiana,3.79
Maine,4.54
Maryland,2.29
Massachusetts,1.77
Michigan,2.28
Minnesota,2.55
Mississippi,2.64
Missouri,3.01
Montana,-2.04
Nebraska,1.01
Nevada,5.44
New Hampshire,-2.01
New Jersey,5.26
New Mexico,4.31
New York,3.53
North Carolina,3.59
North Dakota,1.81
Ohio,1.74
Oklahoma,0.53
Oregon,1.85
Pennsylvania,1.2
Rhode Island,-1.48
South Carolina,3.7
South Dakota,3.35
Tennessee,3.65
Texas,4.93
Utah,0.42
Vermont,5.7
Virginia,2.33
Washington,0.97
West Virginia,7.23
Wisconsin,0.51
Wyoming,1.77
